Job Title,Company,Location,Job Link,Salary,Job Type,Posted Date,Vacancy,Description
Software Developer,Nortec Software Pvt Ltd,Lahore,https://pk.indeed.com/company/Nortec-Software-Pvt-Ltd/jobs/Software-Developer-d94b5ac9f46876b8?fccid=8e9cce36379cb21a&vjs=3,"Rs 75,000 - Rs 140,000 a month",N/A,Posted 15 days ago,Application response rate: 85%,"Job Description: Software Developer (.NET/C#)
We are seeking highly skilled Software Developers with expertise in .NET, ASP, MVC, REST API and C# programming languages to join our team. The successful candidate will have a strong background in software development and a passion for creating high-quality, innovative solutions.
Responsibilities:

Design, develop, and maintain software applications using .NET and C#
Collaborate with cross-functional teams to analyze and resolve technical issues
Write clean, efficient, and well-documented code
Participate in code reviews to ensure the quality of the codebase
Keep up to date with the latest industry trends and technologies

Qualifications:

Bachelor's or Master's degree in Computer Science or a related field
Strong understanding of .NET and C# programming languages
Experience in relational databases MS SQL
Experience in GIT and using the GITHUB plateform
Proficiency in English (oral and written)
Experience with web development and database design
Ability to work independently and as part of a team
Experience in HL7 standards
Experience in developing machine interface
Must be willing to work on-site during USA business hours

Expectations:

At least 3 years of experience in software development
Strong problem-solving and communication skills
Ability to work effectively in a fast-paced, dynamic environment
Attention to detail and commitment to delivering high-quality work

Package Include:

Competitive salary
Career growth
Medical for IPD

If you are a self-starter with a strong desire to learn and make an impact, we encourage you to apply for this position. We are an equal opportunity employer and welcome applicants from all backgrounds to apply.
Pay: Rs75,000.00 - Rs140,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Have you submitted your application on our web-site?

Please submit your application on our website: http://www.nortecehr.com/careers.aspx
Education:

Bachelor's (Preferred)

Experience:

3 plus years (Preferred)

Language:

Fluent in written and spoken English (Preferred)

Shift availability:

Night Shift (Required)
"
Front End Developer,E-TECH,Lahore,https://pk.indeed.com/company/Soundview-Technoligies/jobs/Front-End-Developer-560f0657625ae323?fccid=7448256911bd737d&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 67%,"Elite Technologies is seeking an energetic candidate for the position of Front End Developer having good expertise in HTML5, CSS3, Javascript, JQuery/React.js, Bootstrap, Web APIs, and WordPress management with a minimum 3 years of experience.Please review the list of responsibilities, qualifications, and required skills. While this is our ideal list, we will consider candidates that do not necessarily have all of the qualifications but have sufficient experience and talent.Job Responsibilities:Develop front-end applications, user-facing features, or components and turn business requirements into technical designs.Develop cutting-edge web applications that perform superbly across all platforms.Build reusable code and libraries for future use.Optimize applications for maximum speed and scalability.Assure that all user input is validated before submitting to the back-end.Transforming complex PSD layouts into pixel-perfect presentation layer HTML5/CSS3 templatesBuild WordPress websites based on business requirements and design specs. (WordPress coding is not required. Only knowledge of WordPress administration and plugins is required to build stand-alone websites with mostly updatable static content)Requirements:Proficiency in front-end development web programming languages such as HTML and CSS, and JavaScript frameworks.Good understanding of content management systems (CMS).Good understanding of search engine optimization (SEO) principles.Proficient understanding of cross-browser compatibility issues.Excellent visual design skills.
Qualification & Experience:Proven work experience of 3+ years as a Front-end developerExperience with UI/UX design tools.Experience in browser-based debugging and conducting website performance tests.Experience in monitoring the performance of the live website.An enthusiastic individual with a can-do attitude and excellent communication and presentational skills.Must be a team player and self-starter.Technologies and Skills required:Proficient in HTML, CSS3, JavaScript, AJAX/JSONStrong understanding of DOM manipulation, event handlers, data structures, algorithms etc.Expert in using frameworks like Bootstrap, JQuery, ReactJS etc.ES6 Concepts (arrow functions, variables and scoping, array methods, async/await etc),WordPress and its pluginsPlus Points:Preceding experience with React/NextJS and its fundamentals like JSX, Virtual DOM, component lifecycle, hooks etc.Experience in React Native.Understanding of RESTful APIs/GraphQL, CI/CD tools, and Code versioning tools.Understand performance testing frameworks like Chai, Mocha etc.
Job Type: Full-time
Pay: Rs1.00 - Rs2.00 per month
Application Question(s):

How many years of AJAX/JSON, UI/UX design tools. experience do you have?

Experience:

Adobe Photoshop: 3 years (Preferred)
HTML5: 3 years (Preferred)
CSS3: 3 years (Preferred)
Bootstrap: 3 years (Preferred)
JavaScript: 3 years (Preferred)
jQuery: 3 years (Preferred)
"
React JS Developer,DevBatch Pvt Ltd,Lahore,https://pk.indeed.com/company/DevBatch-Pvt-Ltd/jobs/React-Js-Developer-c1d0600dd1c08cbb?fccid=171fa974be93cb94&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 71%,"Responsibilities and Requirements:

Strong hands-on exposure to React
Strong JavaScript development skills, understanding of new ES6 concepts, and Proficiency in React, Angular, or other modern JS frameworks
Full knowledge of the DOM, new HTML5 constructs, and CSS3
Agile & Automation Experience is a must
Experience with Single Page Application Development
Strong experience on Rest services/APIs
Hands on experience with Redis
Knowledge and experience with GraphQL
Strong written and verbal communication skills
Maintain existing React systems, including fixing bugs.
Building reusable components and front-end libraries for future use.
Maintain and update project dependencies as well as fix any conflicts.
Translating designs and wireframes into high-quality code.
Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
2 - 3 years of experience in the software industry.

Perks and Benefits:

Annual increment
Performance based bonus
In-house training
In patient coverage
Annual Trips
24 paid leaves
Day care facility
Referral Bonus
Provident Fund
Marriage Bonus
Flexible hours work timings
Birthday’s Celebrations
Welcome Lunch

Job Type: Full-time
Salary: Rs100,000.00 - Rs150,000.00 per month"
Laravel Internees ( Male / Female ),Brown Tech Int,Lahore,https://pk.indeed.com/company/Computer-Tech-International/jobs/Laravel-Internee-1855fd092cf6bf65?fccid=da6e0be5eacb4f9b&vjs=3,,Internship,Posted 30+ days ago,Application response rate: 55%,"We are Offering an Internship in Laravel Developer.The ideal candidate is a highly resourceful and innovative developer with basic in the layout, design, and coding of websites specifically in PHP format. You must also possess a basic knowledge of web application development using PHP programming language and MySQL Server databases

Document features, technical specifications & infrastructure Responsibilities
Work cross-functionally to convert business needs into technical specifications.
Basic knowledge of Laravel.

On-site Job

Ramzan Timing: 9 AM TO 4:30 PM
Full-time Job
Unpaid Internship / It depends on your interview.

Job Types: Contract, InternshipContract length: 3 months
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
WordPress Developer,OnyxTec,Lahore,https://pk.indeed.com/company/OnyxTec/jobs/Wordpress-Developer-bec7cc63aba2acd1?fccid=8324c7050b57c2e2&vjs=3,"Rs 35,000 - Rs 50,000 a month",Full-time,Posted 30+ days ago,Application response rate: 53%,"We are hiring a WordPress Developer for Lahore. Apply now!
Perks and Benefits we offer:We are a growing company and we want the right candidates to grow with us. Below are some of the basic benefits we are offering to our employees.

️Market Competitive Salary
Annual Increments
Performance Based Bonuses
Stay Fit Allowance
️Annual Paid Leaves
️Paid Overtime
️Work-Life Balance
️Mentorship and Career Growth
️Fun Fridays
️Team lunches/dinners
️Fun Activities (Video Games, Board Games etc.)
️Referral Bonuses
️Laptops and Accessories
️Tea and snacks
️Work From Home Flexibility (Not permanent)
️Congenial and productive working environment

Responsibilities:

Creating and deploying new features and functionalities.
Creating and directing the website's architecture, assuring excellent performance and availability, and handling all client technical issues.
Apply the latest trends in digital media, web design, graphic design, and emerging technologies that meet project objectives.
Creation functional theme and plugin based on an effective, responsive design.
Ensure a high performance, high page speed insights, Google web vitals scores, and practical coding
Help with responsive design implementation and theme and plugin troubleshooting

Requirements:

Front-end technology such as CSS3, JavaScript, HTML5, and jQuery are required.
GIT knowledge
Excellent knowledge of website architecture and aesthetics.
Should be familiar with the most recent trends and techniques of the Wordpress Plugins and themes.

Required Expereince:

A minimum of 6 months-1 years of hands-on experience as an WordPress developer is required.

Candidates willing to immediately join would be preferred
Please note that this is a full-time office-based position in Lahore.
Job Type: Full-time
Salary: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

WordPress: 1 year (Required)

Application Deadline: 28/02/2023"
React Js Developer,Maqware Solutions,Lahore,https://pk.indeed.com/company/Maqware-Solutions/jobs/React-Js-Developer-83b0b41a4994acef?fccid=5a108b8446d5425a&vjs=3,"Rs 50,000 a month",Full-time,Posted 30+ days ago,Application response rate: 56%,"Requirements:- Developing and maintaining user-facing features using React.js

Building reusable components and front-end libraries for future use
Translating designs and wireframes into high-quality code
Optimizing components for maximum performance across a vast array of web-capable devices and browsers

*The qualifications for this role might include:

1+ years of professional experience with React.js
Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model

-Experience with popular React.js workflows (such as Redux)

Familiarity with code versioning tools such as Git
Strong understanding of web markup, including HTML5 and CSS3
Experience with RESTful APIs and modern front-end build pipelines and tools.
Strong problem-solving skills, and ability to think outside the box
Strong communication skills, both verbal and written
Strong debugging and troubleshooting skills
Knowledge of ReactNative would be a plus.

Job Type: Full-time
Salary: From Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Full Stack Developer / Laravel Developer,Hexa Tech Solution,Lahore,https://pk.indeed.com/company/Hexa-Tech-Solution/jobs/Full-Stack-Developer-09378ae64de57ca2?fccid=774eb39fb7b616fa&vjs=3,"Rs 40,000 - Rs 100,000 a month",Full-time,Posted 30+ days ago,Hiring 4 candidates for this role,"We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.
Full stack developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.
Requirements:

Degree in computer science.
Strong organizational and project management skills.
Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
Familiarity with Veu.JS, Bootstrap and JQuery.
Proficiency with server-side languages such as Laravel, PHP, and API.
Excellent verbal communication skills.
Good problem-solving skills and attention to detail.
Minimum of years experiance to related field.

Job Type: Full-time
Salary: Rs40,000.00 - Rs100,000.00 per month
Education:

Bachelor's (Preferred)
"
JavaScript Developer,Exarta,Lahore,https://pk.indeed.com/company/Exarta/jobs/Javascript-Developer-6367867b37b90345?fccid=29b6f1055f0b3973&vjs=3,,Full-time,Posted 30+ days ago,Application response rate: 54%,"Responsibilities:

Candidate will be involved in design, development and implementation of web based and client/server.
Candidates will be developing SPA by using React.js, Node.js, Redux, Babel and Web pack
Candidate will be working on Java Restful Web services.
Candidate will be involved in programming and debugging web application user interfaces.

Required Skills:

At least 1+years of experience in software development.
Personal accountability and responsibilities.
Experience in CSS, HTML5, experience in JavaScript ES6 and responsive design, Including knowledge of UI/UX and basic proto type design.
Expertise with React Class and Functional component development.
Strong experience with React Hooks
Familiar JavaScript Unit Testing

Job Type: Full-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Junior MVC/.NET Core Developer,ilmkidunya.com,Lahore,https://pk.indeed.com/company/ilmkidunya.com/jobs/Junior-Mvc-Net-Core-Developer-5d5d2da1b95fddfc?fccid=a1992cbd8bd000c4&vjs=3,"Rs 75,000 a month",,Posted 30+ days ago,,"Responsibilities:

Candidate will be involved in design, development and implementation of web based and client/server.
Candidates will be developing SPA by using React.js, Node.js, Redux, Babel and Web pack
Candidate will be working on Java Restful Web services.
Candidate will be involved in programming and debugging web application user interfaces.

Required Skills:

At least 1+years of experience in software development.
Personal accountability and responsibilities.
Experience in CSS, HTML5, experience in JavaScript ES6 and responsive design, Including knowledge of UI/UX and basic proto type design.
Expertise with React Class and Functional component development.
Strong experience with React Hooks
Familiar JavaScript Unit Testing

Job Type: Full-time
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Shopify Developer Required,Brandbeat Advertising and Communications,Lahore,https://pk.indeed.com/company/Brandbeat/jobs/Shopify-Developer-2012c808655bb200?fccid=c02e020b5f216fc3&vjs=3,"Rs 100,000 a month",Full-time,Posted 1 day ago,Hiring 2 candidates for this role,"Hi all, welcome to EDIRECT job post.
We are multinational company based in UK, have 1000+ clients all over the world.
We provide digital services like SEO, PPC, Web development etc..
Job Details
We are looking for Shopify Developer for our pakistan office.
Responsibilities

Converting XD to Shopify.
Working on backend and modifying core functionalities.
Good experience in HTML, CSS and JS
Good experience in Server Management.
Solving critical errors and make sure site is bug free.
Speed Optimization
Pixel perfection

experience in WordPress will be a plus point.
If you are not capable on listed points above then please don't apply :)
Working websites is a MUST for reference, so we can see your work before discussing about the job :)
Working Days
Monday to Friday
Salary Starting from 100k
Don't hesitate to ask any question, you can send email at awais(at)edirect.ae
Thank You
Job Type: Full-time
Salary: From Rs100,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)
"
PHP Laravel Developer,Solutions Wave,Lahore,https://pk.indeed.com/company/Solutions-Wave/jobs/PHP-Laravel-Developer-f60cf3ea35819389?fccid=51a89acd38a6fa0d&vjs=3,"Rs 50,000 a month",Full-time,Posted 5 days ago,Hiring 2 candidates for this role,"We are looking for an experienced and skilled PHP Laravel Developer.
Responsibilities:

Integration of user-facing elements developed by front-end developers
Building efficient, testable, and reusable PHP modules
Solving complex performance problems and architectural challenges
Integration of data storage solutions

Skills and Qualifications:

Good knowledge of ERP System & its functionality.
Strong knowledge of PHP Laravel Framework
Knowledge of VueJS/ ReactJS would be a plus Understanding the fully synchronous behaviour of PHP
Understanding of MVC framework and design patterns
Understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Knowledge of object-oriented PHP programming
Understanding accessibility and security compliance
Strong knowledge of the common PHP or web server exploits and their solutions.

Location: Arfa Software Technology Park , Lahore.
Job Type: Full-time
Salary: Up to Rs50,000.00 per month"
React JS Developer,Nasksoft,Lahore,https://pk.indeed.com/company/Nasksoft/jobs/React-Js-Developer-b68a8cefb91fbfc0?fccid=7f4cdb20aa10c404&vjs=3,"Rs 100,000 - Rs 120,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"A React JS developer is responsible for designing and implementing UI components for JavaScript-based web applications and mobile applications with the use of open-source library infrastructure. These developers are a part of the entire process starting from conception to the major testing process and follow popular React JS workflows like Flux.
Roles and Responsibilities
As an efficient React JS developer, he/she is supposed to perform certain defined roles and follow responsibilities to get the best of results. Here are the major ones, that any React JS developer is supposed to follow:

Leverage the inbuilt React toolkit for creating frontend features
Create data visualization tools, libraries, and reusable code for prospects
Integrate designs and wireframes within the application code
Monitor interaction of users and convert them into insightful information
Write application interface code with JavaScript
Enhance application performance with constant monitoring
Translate wireframes and designs into good quality code
Optimize components to work seamlessly across different browsers and devices
Good understanding of CSS libraries, GIT, Sigma, Adobe XD etc.
Proper user information authentication
Develop responsive web-based UI

Skills

Shopify with React Integration
Strong proficiency in JavaScript, object model, DOM manipulation and event handlers, data structures, algorithms, JSX, and Babel
Complete understanding of React JS and its main fundamentals like JSX, Virtual DOM, component lifecycle, etc.
Preceding experience with React JS workflows like Flux, Redux, Create React App, data structure libraries
Understanding of RESTful APIs/GraphQL, HTML/CSS, ES6 (variables and scoping, array methods), code versioning tools like GIT, SVN, etc., popular frontend development tools, CI/CD tools, DevOps, performance testing frameworks like Mocha, Node + NPM
Preferred degree in Computer Science, Information Technology or similar Soft

Skills:

Competence to translate business needs into technical requirements
Open-minded team player, willing to accept feedback and offer suggestions
Capability to write crisp and clear code based on guidelines and best practices
Willingness to learn modern-day tools and processes
Good problem-solving, troubleshooting skills
Creativity and accountability

Job Skills

VEU JS
Node JS
CSS & HTML
React JS
React Native
JavaScript & Fundamentals
JSX
Git
Redux

Qualification:
BSCS/BSIT/MCS/MIT
Job Type: Full-time
Salary: Rs100,000.00 - Rs120,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
WordPress Web Designer,Hexa Tech Solution,Lahore,https://pk.indeed.com/company/Hexa-Tech-Solution/jobs/Wordpress-Web-Designer-e7ef987835909309?fccid=774eb39fb7b616fa&vjs=3,"Rs 25,000 a month",Full-time,Posted 30+ days ago,Hiring 4 candidates for this role,"We are looking to hire a skilled WordPress Developer to design and implement att ractive and functional websites for our clients. You will be responsible for both back-end and front-end development including the implementation of WordPress themes and plugins as well as site integration and security updates.
Requirement

Proven work experienc e as a WordPress Developer.
Good understanding of website architecture and aesthetics.
Experience working with Elementor, Divi Builder & WP Bakery.
Knowledge of front-end technologies including CSS3, JavaScript, HTMLS, and jQuery.
Bachelor's degree in Computer Science or similar field.
Minimum of 1-Year relevant experience.

Job Type: Full-time
Salary: From Rs25,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
WordPress / Web Developer,4Nodes Technologies,Lahore,https://pk.indeed.com/company/4nodes-Technologies/jobs/Wordpress-105b29c72ef545cd?fccid=3c59261f8ad12d9c&vjs=3,"Rs 40,000 - Rs 65,000 a month",Full-time,Posted 30+ days ago,Application response rate: 82%,"We are looking for an ambitious and energetic WordPress Developer / Web Developer to help us manage new/existing projects with our clientele. You MUST be a self-starter with the ability to see big pictures and understand the needs of customers by putting yourself in their shoes. Dedication and eagerness to learn are TOP traits required as this is the opportunity to grow into a TEAM LEAD and then managing teams down the road.
Note - Please apply only if you software house experience or working with the web development / technical environment. Please note that this is an onsite position (Girja Chowk Lahore) and not remote-only
Following are highlights of technical requirements:

Coordinate coding, testing, implementation, and documentation of solutions based on WordPress
Collaborate with performing teams (business partners, architects) to identify technical and functional needs of systems and deliver new capabilities in business applications and/or remediate issues.
Ability to perform architectural systems research, documentation (user specification/requirements, UI Flow, Test Plans, etc.)
Developer should have a good sense of color scheme, typography and able to develop WordPress projects from scratch (PSD to HTML/WordPress) to final publication according to the desire of the client. Candidate should have experience with ThemeForest themes like Avada, Divi, and other famous theme and can do customization in those themes.
The Candidates must have excellent WordPress development and customization skills and the ability to develop and design professional website layouts, Candidate must be creative & innovative.
Based on customer requirements, scope the project timelines/milestones
Formulate an effective, responsive design and the ability to turn it into a working theme and plugin.

Required Skills:

WordPress Theme / Plugin Development Customization
Ecommerce Woo-commerce / PayPal / Payment Gateway Integration
Search Engine Optimization (SEO)/Social Media Optimization (SMO)/Pay per click (PPC)
Logo Design / Graphics Design (Preferable)
Coding HTML / CSS / PHP / MySQL
Google Suite: Google Sheets, Google Docs

Preferred Skills/Mindset:

Ability to thrive in a fast-paced Company with short release cycles
Self-starters, Self-disciplined & must be committed to their own success
Results-driven, customer-focused, articulate, and analytical
Conceptual understanding and prototyping skills (HTML5/WordPress/PHP)
Strong analytical and problem-solving skills

Job Type: Full-time
Salary: Rs40,000.00 - Rs65,000.00 per month
COVID-19 considerations:All employees ae required to wear mask, vaccination required, common surfaces are sanitized regularly.
Application Question(s):

What are your Salary Expectations?

Education:

Bachelor's (Required)

Experience:

Wordpress: 2 years (Required)

License/Certification:

presence in Lahore and able to travel to the office in Cantt (Required)

Shift availability:

Day Shift (Required)
"
Larval Developer (Mid level),Avicenna Enterprise Solutions,Lahore,https://pk.indeed.com/company/Avicenna-Enterprise-Solutions/jobs/Larval-Developer-837f7affaed2acf4?fccid=0b0f5e0812229071&vjs=3,"Rs 35,000 - Rs 70,000 a month",N/A,Posted 16 days ago,Hiring 2 candidates for this role,"We are looking for a developer to join our team of developers! You will work with our team of talented developers to design and build the next generation of our mobile applications.
The main duties and responsibilities are;- Design and build advanced web applications- Collaborate with cross-functional teams to define, design, and ship new features.- Work with outside data sources and API.- Work on bug fixing and improving application performance.- Continuously discover, evaluate, and implement newtechnologies to maximize development efficiency.
Requirements and qualifications:- Max 2 year of development as Laravel- Have completed at least 2-3 websites or web apps- Experience working with JSON & Firebase.- Experience with third-party libraries and APIs- Working experience of the responsive designs, trends, and emerging technologies- Solid understanding of the full web application development life cycle, critical thinking and problem-solving skills- Team player- Good time management skills- Great interpersonal and communication skills
Job Types: Full-time, Contract
Urgent Hirings
Salary: Rs35,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 03/04/2023Expected Start Date: 03/04/2023"
Moodle - PHP Developer Required / PHP Web Developer / Full Stack,Abaska Technologies,Lahore,https://pk.indeed.com/company/Abaska-Technologies/jobs/Moodle-76d650ea2dee5b00?fccid=749dbc86a8eb29c6&vjs=3,"Rs 70,000 - Rs 85,000 a month",Part-time,Posted 30 days ago,Application response rate: 74%,"We are looking for a Full Stack PHP Web Developer with solid experience working with Object Oriented PHP ideally an MVC framework such as Laraval etc.
Candidate must have sufficient understanding of PHP, Codeigniter, Laravel, JavaScript including AJAX, JSON, JQuery and other JavaScript frameworks, MySQL, 3rd Party API implementation HTML 5, CSS3.
Person should have minimum 2-3 Year of experience and be a good Team player
Job Types: Full-time, Part-timePart-time hours: 40 per week
Salary: Rs70,000.00 - Rs85,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Web Developer,Digital Destiny Pvt Ltd,Lahore,https://pk.indeed.com/company/Digital-Destiny/jobs/Web-Developer-804a8d49f3aac9ac?fccid=ff44b3b24ffdb313&vjs=3,"Rs 35,000 - Rs 45,000 a month",Fresher,Posted 28 days ago,On-going need to fill this role,"We are looking for a Web Developer who would be responsible for designing, coding, and modifying websites, from layout to function and according to the provided instructions.
Job Requirements
· Bachelor's degree in Web development or related field, or relevant experience.
· Solid knowledge and experience in programming applications.
· Proficient in JavaScript, HTML, CSS, Wordpress.
· Proficient in My SQL.
· Solid ability in both written and verbal communication.
· Knowledge of programming language and technical terminology.
· Able to develop ideas and processes and clearly express them.
· High degree of independent judgment.
· Able to solve complex problems.
Job Duties
· Website and software application designing, building, or maintaining.
· Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.
· Directing or performing Website updates.
· Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.
· Editing, writing, or designing Website content, and directing team members who produce content.
· Back up files from Web sites to local directories for recovery.
· Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.
· Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.
Salary:
35k to 45k
Location:
Plot 216, Gulshan Block Allama Iqbal Town Lahore.
Important Note:
· We aren't a third party and hiring directly.
· This is a night shift job in US Based Call Center
Job Types: Full-time, Part-time, Temporary, Contract, Internship, FresherContract length: 12 monthsPart-time hours: 54 per week
Salary: Rs35,000.00 - Rs45,000.00 per month
Application Question(s):

This is an on-site night shift job. Are you able to do that?
"
Node Js Developer,IDENBRID INC.,Lahore,https://pk.indeed.com/company/IDENBRID-INC./jobs/Node-Js-Developer-855c777d73bbdfa4?fccid=f5bf2d8265bda1c7&vjs=3,"Rs 50,000 - Rs 80,000 a month",Full-time,Posted 30+ days ago,Hiring 2 candidates for this role,"We are seeking a skilled Node.js developer to join our dynamic team at IDENBRID INC, in Lahore Office having experience in building high-performance server-side applications. IDENBRID INC, is a reputable multinational software company having Japanese and Pakistani engineers offering a chance for candidates to gain experience. Take advantage of this opportunity to join our organisation and advance your career.
Roles and Responsibilities

Develop and maintain server-side applications using Node.js
Collaborate with front-end developers to integrate user-facing elements with server-side logic
Write reusable, testable, and efficient code
Troubleshoot and debug applications
Stay up-to-date with emerging trends and technologies in web development
Familiarity with databases such as MySQL, MongoDB, or PostgreSQL
Experience with version control systems such as Git
Excellent problem-solving and analytical skills

Benefits:

Opportunities for career growth and advancement
Competitive salary and benefits package
Collaborative and inclusive work environment
Access to cutting-edge technology and tools
Opportunity to work with a talented and diverse team

Job Type: Full-time
Salary: Rs50,000.00 - Rs80,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Preferred)
"
Laravel Developer,WebyCart,Lahore,https://pk.indeed.com/company/WebyCart/jobs/Laravel-Developer-8423cae71d7f6fa7?fccid=e1ae83cd7b93cfc0&vjs=3,"Rs 50,000 - Rs 70,000 a month",Full-time,Posted 30+ days ago,Application response rate: 54%,"WebyCart is looking for Laravel Developer.
Responsibilities:

Design and develop web applications using Laravel framework.
Write clean, maintainable, and efficient code.
Collaborate with cross-functional teams to identify and prioritize features.
Test and debug code to ensure high-quality performance.
Stay up-to-date with industry trends and technologies.
Participate in code reviews to maintain code quality and ensure consistency.
Troubleshoot and debug issues reported by end-users.
Optimize application for maximum speed and scalability.

Requirements:

Bachelor's degree in Computer Science or related field.
At least 1 year experience.
Strong problem-solving skills and attention to detail.

Job Type: Full-time
Salary: Rs50,000.00 - Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 07/03/2023"
Junior Full Stack Developer,Suave Solutions,Lahore,https://pk.indeed.com/company/Suave-Solutions/jobs/Junior-Full-Stack-Developer-dc1633ff17b2a9c5?fccid=df339be074a4b766&vjs=3,"Rs 70,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"Suave Solutions is looking for Junior Full Stack Developer.

At least 1+ year proven experience in LAMP Stack
Experienced in Developing MySQL database and APIs for mobile apps.
Talented web developer with strong web development experience in PHP/MCV. The person should be a creative mind, self-motivator, bug fixer, and result-oriented.
Demonstrable experience with PHP including OOP, security, refactoring & design patterns.
Strong analytical and problem-solving skills.
Creative ability to produce effective solutions to client problems.
Proficiency in HTML, CSS, Bootstrap, JavaScript, JQuery and AJAX.
Excellent communication and collaboration skills.
Know how about Magento will be a plus point.
Bachelor’s degree in computer science.

Job Type: Full-time
Salary: From Rs70,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)

Application Deadline: 05/03/2023"
WordPress Developer,EvolversTech,Lahore,https://pk.indeed.com/company/EvolversTech/jobs/Wordpress-Developer-015908826126bb46?fccid=7ccd96c4b03a3676&vjs=3,"Rs 35,000 - Rs 50,000 a month",Full-time,Posted 30+ days ago,Hiring 1 candidate for this role,"A standard WordPress Engineer job description should include, but not be limited to:

knowledge and development experience in PHP, CSS/HTML, JavaScript, jQuery (and/or similar JS libraries), MySQL (or other database management systems)
Theme and Plugin Customization.
Plugin development is plus.
Page builders: Eliminator, Divi, Beaver.
Database management: SQL, MySQL.
WordPress Front-End and Back-End development.
Github and BitBucket.
Web design: UX, UI, site architecture.
Knowledge of Figma.

Experience: Min 1 Year
Job Type: Full-time
Pay: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
React Native Developers Required,Ranglerz Digital Marketing,Lahore,https://pk.indeed.com/company/Ranglerz-Digital-Marketing/jobs/React-Native-Developer-fa33d68433ac8991?fccid=a5a88bef4f337222&vjs=3,,,Posted 30+ days ago,,"A standard WordPress Engineer job description should include, but not be limited to:

knowledge and development experience in PHP, CSS/HTML, JavaScript, jQuery (and/or similar JS libraries), MySQL (or other database management systems)
Theme and Plugin Customization.
Plugin development is plus.
Page builders: Eliminator, Divi, Beaver.
Database management: SQL, MySQL.
WordPress Front-End and Back-End development.
Github and BitBucket.
Web design: UX, UI, site architecture.
Knowledge of Figma.

Experience: Min 1 Year
Job Type: Full-time
Pay: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
Laravel Developer,Zepto Systems Limited,Lahore,https://pk.indeed.com/company/Zepto-Systems-Limited/jobs/Laravel-Developer-81a1c68aa022beb1?fccid=8fb6acedbc42c153&vjs=3,"Rs 70,000 - Rs 130,000 a month",,Posted 30+ days ago,,"A standard WordPress Engineer job description should include, but not be limited to:

knowledge and development experience in PHP, CSS/HTML, JavaScript, jQuery (and/or similar JS libraries), MySQL (or other database management systems)
Theme and Plugin Customization.
Plugin development is plus.
Page builders: Eliminator, Divi, Beaver.
Database management: SQL, MySQL.
WordPress Front-End and Back-End development.
Github and BitBucket.
Web design: UX, UI, site architecture.
Knowledge of Figma.

Experience: Min 1 Year
Job Type: Full-time
Pay: Rs35,000.00 - Rs50,000.00 per month
Ability to commute/relocate:

Lahore: Reliably commute or planning to relocate before starting work (Required)
"
